city_id,city_name,county_id,county_id_fips
49,Snohomish-Rural,61,61
94,Lynnwood,61,61
95,Everett,61,61
96,Brier,61,61
97,Brier MUGA,61,61
98,Edmonds,61,61
99,Meadowdale Gap MUGA,61,61
100,Mill Creek,61,61
101,Mountlake Terrace,61,61
102,Lynnwood MUGA,61,61
103,Mill Creek MUGA,61,61
104,Larch Way Overlap MUGA,61,61
105,Bothell MUGA,61,61
106,Marysville,61,61
107,Lake Stickney Gap,61,61
108,Mukilteo MUGA,61,61
109,Everett MUGA,61,61
110,Monroe,61,61
111,Arlington,61,61
112,Snohomish,61,61
113,Lake Stevens,61,61
114,Sultan,61,61
115,Woodway,61,61
116,Darrington,61,61
117,Gold Bar UGA,61,61
118,Edmonds MUGA,61,61
119,Mountlake Terrace MUGA,61,61
120,Mukilteo,61,61
121,Marysville UGA,61,61
122,Lake Stevens UGA,61,61
123,Stanwood,61,61
124,Arlington UGA,61,61
125,Monroe UGA,61,61
126,Snohomish UGA,61,61
127,Silver Firs Gap MUGA,61,61
128,Gold Bar,61,61
129,Granite Falls,61,61
130,Stanwood UGA,61,61
131,Index,61,61
132,Maltby UGA,61,61
133,Granite Falls UGA,61,61
134,PAINE FIELD AREA,61,61
135,Sultan UGA,61,61
136,Woodway MUGA,61,61
137,Darrington UGA,61,61
139,Bothell,61,61
1,Normandy Park,33,33
2,Auburn,33,33
3,King-Rural,33,33
4,Sea Tac,33,33
5,Shoreline,33,33
6,Renton PAA,33,33
7,Kent,33,33
8,Tukwila,33,33
9,Seattle,33,33
10,Kent PAA,33,33
11,North Highline,33,33
12,Renton,33,33
13,Bellevue,33,33
14,Kirkland,33,33
15,Redmond,33,33
16,Covington,33,33
17,Enumclaw,33,33
18,Des Moines,33,33
19,Mercer Island,33,33
20,Federal Way,33,33
21,Sammamish,33,33
22,Issaquah,33,33
23,Burien,33,33
24,Sammamish PAA,33,33
25,Federal Way PAA,33,33
26,Kenmore,33,33
27,Duvall,33,33
28,Bothell,33,33
30,Woodinville,33,33
31,Algona,33,33
32,North Bend,33,33
33,Lake Forest Park,33,33
34,Redmond PAA,33,33
35,Black Diamond,33,33
36,Newcastle PAA,33,33
37,Snoqualmie,33,33
38,Bear Creek UPD,33,33
39,Pacific,33,33
40,Tukwila PAA,33,33
41,Clyde Hill,33,33
42,Maple Valley,33,33
43,Newcastle,33,33
44,Issaquah PAA,33,33
45,Black Diamond PAA,33,33
47,Yarrow Point,33,33
48,Hunts Point,33,33
50,Medina,33,33
51,Beaux Arts,33,33
52,Skykomish,33,33
46,UUU,33,33
54,Milton,33,33
55,Carnation,33,33
57,Milton PAA,33,33
58,Bellevue PAA,33,33
60,Auburn PAA,33,33
61,Pacific PAA,33,33
62,Seattle PAA,33,33
63,Kitsap-Rural,35,35
64,Port Orchard,35,35
65,Bremerton,35,35
66,Bremerton UGA,35,35
67,Port Orchard UGA,35,35
68,Central Kitsap UGA,35,35
69,Bainbridge Island,35,35
70,Silverdale,35,35
71,Poulsbo,35,35
72,Poulsbo PUTA,35,35
73,Kingston UGA,35,35
29,Pierce-Rural,53,53
53,UU,53,53
59,Tacoma,53,53
74,Steilacoom,53,53
75,JBLM,53,53
76,DuPont,53,53
77,Gig Harbor,53,53
78,Roy,53,53
79,Lakewood,53,53
80,University Place,53,53
81,Fircrest,53,53
82,Ruston,53,53
83,Fife,53,53
84,Eatonville,53,53
85,Puyallup,53,53
86,Orting,53,53
87,Edgewood,53,53
88,Sumner,53,53
89,Bonney Lake,53,53
90,South Prairie,53,53
91,Carbonado,53,53
92,Buckley,53,53
93,Wilkeson,53,53
138,Auburn,53,53
141,Milton,53,53
142,Pacific,53,53
