faz_id,households,population,employment
110,1975,4743,843
120,4353,10456,1365
135,6065,14942,2673
136,4552,10075,3974
205,4822,11297,10414
206,5175,12393,6467
315,5376,13619,4981
325,8785,23210,4474
405,8000,22900,3573
505,16124,48990,11318
506,8016,24071,4702
605,7605,20721,3876
606,7287,20056,3798
705,6597,19145,2375
706,4527,12297,3094
805,6812,19717,4727
806,11285,31324,4355
900,4011,9579,15324
1000,3893,9904,3060
1115,4375,11349,5200
1116,5762,13786,6683
1120,12315,31249,12971
1130,2058,4358,4410
1200,6224,15743,4349
1310,9390,26215,5057
1320,6616,17243,3398
1330,7532,23153,4903
1410,5272,13122,10679
1420,5484,13689,11834
1505,7528,18217,4990
1506,8741,20943,3908
1605,7493,15401,6203
1606,5503,12124,2023
1710,8581,20836,11311
1720,10635,24367,5809
1810,2112,3956,12274
1820,4185,6034,19217
1900,375,583,11402
2000,4212,10893,13241
2100,6867,18664,2561
2215,6951,17155,6400
2216,6789,18385,3905
2225,5786,13764,6208
2910,1226,3351,531
2925,6026,16490,1572
2926,8703,24651,2260
2927,2074,5450,1151
2935,5093,16475,16024
2936,3491,9242,3129
2940,5787,14748,2003
3010,14757,41143,9498
3020,9210,22746,18718
3030,12271,36805,10529
3045,10245,26755,3285
3046,9188,23032,7199
3110,3138,9411,2385
3120,9097,24647,18005
3130,6969,16206,20212
3200,7177,19142,7426
3310,6989,20685,3523
3320,10055,29445,5251
3330,4424,12100,2587
3413,2725,7928,1444
3414,8503,25701,2487
3415,8798,24356,4297
3416,8917,24469,3589
3425,6376,18436,2781
3426,5928,19939,3285
3427,7942,23025,5706
3505,14893,38385,16366
3600,8123,19972,46413
3705,11383,30755,30664
3706,6050,15125,3125
3815,7730,18487,8795
3816,8386,23670,3820
3825,6455,17881,7331
3900,2211,4907,21481
3905,3338,9001,19819
4005,4781,13268,2008
4110,7752,18839,30802
4120,8166,20383,3142
4130,8704,18811,25535
4210,9001,25273,4337
4225,6689,17524,3512
4226,6280,16089,4003
4230,3532,10170,2026
4300,4467,10225,9000
4400,9326,23242,8695
4505,5499,15932,1980
4506,6643,16813,29943
4605,9621,25095,15835
4606,8410,24852,3731
4607,9510,28417,9369
4706,5234,14339,2472
4810,4503,10257,6836
4820,3081,6813,5033
4900,5658,8831,44526
5010,8295,19651,11073
5020,10538,27218,7886
5100,3031,8596,1979
5205,5665,12890,27991
5305,11901,26044,22288
5306,10163,22438,17227
5415,5310,13205,47366
5425,17019,39655,29419
5426,8126,22500,15971
5515,9159,22424,5082
5525,5583,13505,5769
5535,9971,25543,5353
5545,4632,13889,3987
5546,5916,15771,11063
5600,5871,14565,13021
5715,7659,17043,2863
5716,10491,26565,7846
5720,18225,36347,11300
5815,2008,5176,22614
5825,1722,3813,43861
5826,2343,4523,6171
5915,6965,20398,3623
5916,13968,38904,8179
5925,10681,25477,13506
6010,6892,9748,104724
6020,12349,16750,40516
6113,22803,33172,38005
6114,16512,33832,18573
6115,10456,21150,8616
6123,12576,19169,55997
6124,14154,25510,13127
6125,5281,9998,10393
6126,5067,11741,3156
6213,10079,18766,15150
6214,197,241,28000
6215,12747,26350,12353
6216,6402,15773,11680
6223,12976,27815,6397
6224,10218,21253,7174
6225,9718,19402,14180
6226,13254,30493,6779
6316,17487,33159,20418
6325,16236,35984,7291
6326,11771,24640,10324
6410,14818,35319,12897
6420,12763,30862,8656
6505,5185,15410,4109
6506,4147,11531,5405
6605,4319,12711,2364
6606,1911,5433,1434
6900,2947,7852,1654
6910,2622,6781,2081
6930,4618,11156,3733
7015,7122,16667,4573
7025,8959,19189,9680
7026,3830,9927,1864
7100,8625,20917,8417
7205,5141,13370,5767
7206,7360,17561,11623
7315,5694,15645,3997
7316,7514,20253,3773
7320,12453,33241,7267
7335,14638,36940,11557
7340,9399,27342,3490
7415,4511,12399,11807
7425,10209,31155,4303
7435,2803,7950,4531
7436,2085,5825,2264
7515,1931,5240,7003
7525,5817,15634,2226
7526,6274,15995,9795
7535,10242,25704,5621
7537,8655,21967,16216
7605,713,1918,999
7606,1223,3535,730
7700,3376,7936,3941
7805,6943,20431,2290
7806,1700,4672,1766
7905,7938,22800,4852
8000,5014,12580,42629
8115,11357,27913,8972
8125,6513,16716,5236
8126,4732,11496,4920
8210,3967,7887,13675
8220,7933,17780,10280
8310,11342,29774,7917
8320,4481,12795,6621
8405,5325,16319,1655
8406,587,1585,320
8500,6839,18544,7548
8600,5895,17342,9386
8905,3487,9817,1051
8906,3028,8504,1319
8910,5409,14422,1963
8925,5099,13858,2068
8926,5163,13777,1672
8927,2060,5720,1481
8935,4586,12130,4716
8936,6188,16536,3459
8937,3907,10691,8779
9002,9465,23520,8347
9004,6965,18691,3607
9005,2172,5774,393
9006,3610,9873,1357
9009,1950,4969,2142
9011,3788,8449,4951
9015,5579,14706,1703
9016,4035,11042,1918
9017,1642,4188,427
9018,5894,13944,10584
9019,6233,16188,4916
9020,6121,15318,2860
9900,3010,7002,1273
9901,2220,5592,2763
9902,9296,20542,20743
9904,4678,9691,5186
9908,1191,3865,3703
9909,1749,4696,1023
9913,3364,7098,5327
9914,6195,16029,3583
9915,5562,14817,2337
9916,4066,11075,2106
