faz_id	2000	2010	2020	2030	2040
110	1071	1084	1188	1362	1650
120	1326	1333	1395	1533	1942
135	739	932	1285	1700	2339
136	2137	2335	2479	2761	3131
205	2763	2958	3000	3031	3270
206	2738	2926	3364	3904	4346
315	1720	1879	2107	2408	3020
325	4052	4436	4791	5114	5749
405	712	808	805	855	980
505	205	374	471	492	658
506	136	238	296	373	387
605	524	788	1105	1443	1789
606	1095	1838	2476	2857	3384
705	126	248	404	644	854
706	229	290	364	486	563
805	182	365	539	744	1016
806	148	404	688	909	1136
900	1225	1468	1829	2267	2802
1000	175	216	273	362	443
1115	616	808	1025	1258	1524
1116	1440	1874	2252	2700	3601
1120	3422	3768	4476	5437	6720
1130	546	574	835	1188	1649
1200	1014	1282	1819	2408	3023
1310	1417	1629	1843	2129	2481
1320	1087	1282	1548	1892	2555
1330	973	1110	1223	1366	1801
1410	2373	2440	2620	2868	3431
1420	1272	1673	2082	2511	3178
1505	3047	3486	3831	4214	4986
1506	3107	3374	3753	4204	5181
1605	3418	3882	4431	4966	5817
1606	1470	1742	2093	2494	3245
1710	2432	2750	3092	3451	4047
1720	2217	3113	4051	4656	5430
1810	1191	1688	2234	2800	3545
1820	3792	4476	5478	6740	8088
1900	34	50	105	204	380
2000	1451	1928	2583	3335	4241
2100	883	1042	1220	1458	2046
2215	1155	1647	2055	2473	2913
2216	256	353	401	513	599
2225	572	699	918	1195	1476
2910	7	23	40	67	82
2925	42	93	97	130	127
2926	136	165	148	174	134
2927	94	120	153	212	304
2935	1255	922	743	638	687
2936	177	393	589	735	889
2940	61	103	160	280	480
3010	5029	5213	5628	6088	6468
3020	4231	4681	5170	5662	6317
3030	782	1158	1468	1812	2028
3045	3859	4371	4830	5321	5828
3046	4639	4836	5270	5701	6153
3110	723	968	1365	1769	2284
3120	3231	3538	3994	4532	5127
3130	3363	3881	4540	5182	5786
3200	1033	1305	1695	2228	2763
3310	35	141	220	340	421
3320	405	711	1019	1355	1668
3330	16	115	191	287	352
3413	28	83	136	207	248
3414	2426	2724	2788	2988	3152
3415	1297	1613	2075	2634	3381
3416	2238	2562	2879	3300	3745
3425	619	893	1262	1641	2001
3426	709	872	1120	1362	1804
3427	583	936	1299	1681	1992
3505	7927	8586	9574	10606	11358
3600	3093	3647	4109	4677	5190
3705	5639	6084	6985	7954	8774
3706	1255	1148	1519	1996	2695
3815	2664	2917	4386	5689	6385
3816	2240	2560	3180	3861	4669
3825	2117	2283	3176	4176	5326
3900	1687	1937	2418	3041	3898
3905	1389	1381	1650	2085	2580
4005	792	952	1368	1843	2341
4110	3217	3609	4090	4715	5716
4120	3097	3590	4083	4594	5479
4130	2967	3722	4401	5044	6202
4210	1601	2186	2867	3598	4582
4225	1182	1883	2361	2497	2670
4226	988	1265	1726	2340	3040
4230	33	129	211	317	510
4300	1963	2161	2592	3036	3532
4400	1698	1936	2656	3234	3805
4505	130	264	644	1197	2051
4506	1914	2097	2504	3097	3880
4605	1828	2177	2572	3146	3973
4606	324	532	711	896	1402
4607	38	126	179	254	275
4706	0	66	50	56	21
4810	1421	1458	1691	2259	2880
4820	1232	1275	1547	2017	2596
4900	1518	4965	9399	12388	14046
5010	4346	4696	5249	5771	6203
5020	3367	3524	3879	4517	5461
5100	3	47	73	114	128
5205	3286	3530	4263	5186	6167
5305	4031	4639	5400	5780	6318
5306	4256	5232	6171	7281	8135
5415	1800	2289	2931	3701	4867
5425	6655	8166	10681	13119	15627
5426	892	1559	1716	1925	2194
5515	2330	2576	2945	3634	4453
5525	1398	1755	2223	2805	3412
5535	2139	2508	3083	3563	3935
5545	454	557	786	805	1077
5546	1138	1329	1801	2305	2875
5600	1876	2177	2797	3519	4332
5715	890	941	1405	1695	2382
5716	3001	3012	3298	3557	4005
5720	6012	6639	7098	7740	8399
5815	650	607	732	891	1117
5825	659	851	1033	1236	1545
5826	892	964	1121	1323	1551
5915	1159	1259	1705	2498	3395
5916	2345	2562	2879	3281	4464
5925	3056	3296	3787	4260	4833
6010	4486	7456	8662	11636	16039
6020	6790	10651	15264	19970	24162
6113	18057	19135	21953	24120	25925
6114	6926	8023	9361	10358	11219
6115	5002	4861	5356	5679	5923
6123	5830	9140	14185	18346	23426
6124	8427	8683	9381	10066	10998
6125	3281	3381	3634	3935	4391
6126	756	616	717	1040	1519
6213	5414	5511	6025	6722	7782
6214	204	217	302	456	732
6215	7454	7892	9361	10237	10567
6216	1305	1427	1891	2360	2778
6223	4487	4920	5582	6288	6923
6224	3608	3792	4895	6257	7542
6225	5130	5370	7424	7956	8642
6226	2472	2681	3222	3866	4771
6316	6773	6817	7674	8585	9554
6325	3512	4037	5039	6644	8075
6326	4396	4756	5601	6591	7611
6410	3223	3579	4037	4509	5183
6420	2663	2965	3342	3822	4410
6505	73	343	522	748	960
6506	709	929	1149	1477	1855
6605	70	116	141	190	182
6606	65	108	162	243	335
6900	273	348	394	463	513
6910	19	68	115	168	207
6930	235	351	454	573	659
7015	2217	2430	2821	3403	4034
7025	3392	4110	5180	6461	8053
7026	238	382	495	630	738
7100	2744	3178	3736	4224	5042
7205	1691	1953	2266	2615	2968
7206	3804	4367	5319	6468	7916
7315	813	1171	1562	1978	2633
7316	521	943	1342	1765	2308
7320	2682	4242	5839	7172	8895
7335	2585	3859	5049	6419	8372
7340	993	1550	1905	2220	2666
7415	438	758	1106	1432	1911
7425	66	257	420	594	682
7435	36	101	160	226	282
7436	68	117	177	256	332
7515	406	621	976	1410	1858
7525	1314	1549	1855	2204	2566
7526	1673	2606	3189	3597	3939
7535	3377	5395	7851	10807	14129
7537	4489	6279	7647	8632	9535
7605	21	30	39	56	74
7606	17	58	103	155	209
7700	1198	1513	1757	2038	2511
7805	282	444	631	831	969
7806	21	60	129	212	292
7905	999	1415	1929	2418	2889
8000	753	1245	1691	2161	2635
8115	5974	7355	8730	9822	11046
8125	1895	2148	2488	2884	3471
8126	1555	1736	2037	2421	2974
8210	1988	2549	3277	4099	5235
8220	3033	3307	3705	4099	4684
8310	2698	3410	4428	5912	7505
8320	203	344	481	641	761
8405	77	66	22	2	-64
8406	0	22	61	106	147
8500	1050	1915	2586	2998	3327
8600	1165	1522	1973	2429	2934
8905	90	115	145	208	256
8906	36	86	135	203	244
8910	177	293	396	529	632
8925	197	345	481	636	715
8926	100	173	231	330	392
8927	17	39	48	58	51
8935	515	727	1059	1387	1724
8936	243	315	368	471	467
8937	85	189	325	561	851
9002	2495	2798	3205	3724	4267
9004	44	151	249	401	464
9005	7	51	106	195	289
9006	5	59	113	204	281
9009	45	87	145	214	278
9011	956	1237	1595	1968	2352
9015	175	308	454	641	812
9016	53	96	138	221	290
9017	64	97	139	202	261
9018	2275	2630	3110	3589	4150
9019	80	190	285	433	534
9020	352	568	852	1247	1608
9900	1239	1391	1632	1934	2352
9901	878	947	1071	1245	1511
9902	3268	3553	4150	5099	6335
9904	1775	1958	2337	2839	3561
9908	660	621	589	587	619
9909	21	42	61	104	159
9913	961	1216	1537	1840	2177
9914	90	170	229	325	359
9915	927	1114	1219	1401	1624
9916	267	325	404	530	671
